Portfolio,Ticker,Weight,Proxy Weight,Active Weight,Proxy TE Variance Contribution Daily,MCAR to TE,Proxy TE Contribution Daily,Proxy TE Variance Contribution Pct
MVO,APH,3.013314910964401e-15,0.003007518796992427,-0.003007518796989414,5.736904448051261e-19,0.012619735385366065,-3.7954091384520884e-05,2.5206463737256034e-15
MVO,MPWR,1.4381237298891626e-15,0.0009022556390977282,-0.0009022556390962901,3.410779730154227e-19,0.015720797502234703,-1.4184178197482134e-05,1.4986077659547634e-15
MVO,CAT,1.9765945459164718e-15,0.00591478696741854,-0.0059147869674165635,3.20130600825761e-19,0.010735610583177955,-6.34988495646403e-05,1.4065704691389047e-15
MVO,CEG,1.1125744614716226e-15,0.0017042606516290422,-0.0017042606516279295,2.4722147911440547e-19,0.014729034060479164,-2.510211318576219e-05,1.0862267804521016e-15
MVO,LRCX,4.453753840184471e-16,0.005012531328320812,-0.005012531328320367,1.2151991294403605e-19,0.01808582784791535,-9.065577868628462e-05,5.339268427276733e-16
MVO,GEV,4.73830739208623e-16,0.004010025062656669,-0.004010025062656196,1.079276821517186e-19,0.015098255532462152,-6.0544383087560794e-05,4.74206121269371e-16
MVO,AMD,0.0,0.005513784461152883,-0.005513784461152883,0.0,0.01431219001222284,-7.891433089446178e-05,0.0
MVO,APP,0.0,0.0020050125313282848,-0.0020050125313282848,0.0,0.013438640098482732,-2.6944641801468655e-05,0.0
MVO,FCX,0.0,0.0017042606516290422,-0.0017042606516290422,0.0,0.012845612566835191,-2.1892272043728754e-05,0.0
MVO,ALB,0.0,0.0004010025062656569,-0.0004010025062656569,0.0,0.012008806723132696,-4.815561593236082e-06,0.0
MVO,AES,0.0,0.00020050125313282846,-0.00020050125313282846,0.0,0.006363214520204239,-1.2758324852539597e-06,0.0
MVO,TER,0.0,0.0009022556390977282,-0.0009022556390977282,0.0,0.01974283534660404,-1.781308452325145e-05,0.0
MVO,INTC,0.0,0.0035087719298245983,-0.0035087719298245983,0.0,0.012589277269037047,-4.417290269837607e-05,0.0
