Date,Portfolio,Factor,Total Variance Contribution Daily,Total Variance Contribution Pct
2025-04-30,MVO,Sector_Energy,-5.900956362632781e-07,-0.001817583610841362
2025-04-30,MVO,Sector_Financial_Services,1.5061934548424692e-05,0.046393031401045205
2025-04-30,MVO,Sector_Healthcare,-1.5750433319811243e-05,-0.04851371151805302
2025-04-30,MVO,Sector_Industrials,4.56283296363966e-06,0.014054214103725383
2025-04-30,MVO,Sector_Real_Estate,-3.7714048731115998e-06,-0.011616496150729915
2025-04-30,MVO,Sector_Technology,2.0521614110116047e-05,0.06320966836961331
2025-04-30,MVO,Sector_Utilities,-1.7333863846736637e-06,-0.0053390916495995675
2025-04-30,MVO,Size,4.2341891143818966e-07,0.0013041941452469543
2025-04-30,MVO,Nonlinear_Size,1.1365429679414464e-07,0.00035007238566084033
2025-04-30,MVO,Momentum,5.088209131131989e-07,0.001567245198395715
2025-04-30,MVO,Residual_Volatility,1.0203149720287528e-06,0.0031427240892662922
2025-04-30,MVO,Liquidity,7.877421712115193e-07,0.0024263647652595743
2025-04-30,MVO,Book_to_Price,-2.669831468105284e-07,-0.0008223483825207672
2025-04-30,MVO,Earnings_Yield,3.5061637091870257e-06,0.010799513338379987
2025-04-30,MVO,Leverage,-3.5375463088215567e-09,-1.0896176481192775e-05
2025-04-30,MVO,Dividend_Yield,1.9963830960544522e-08,6.149161209404995e-05
2025-05-31,Original,Market,0.0002678337067929688,0.834838422337925
2025-05-31,Original,Sector_Basic_Materials,6.375841462612935e-06,0.019873515889614852
2025-05-31,Original,Sector_Communication_Services,-1.6936414480216446e-06,-0.005279085188353249
2025-05-31,Original,Sector_Consumer_Cyclical,-3.970454115155327e-08,-0.00012375916717695268
2025-05-31,Original,Sector_Consumer_Defensive,5.7904248500392884e-05,0.18048770650849313
2025-05-31,Original,Sector_Energy,-1.2224116303039241e-05,-0.03810260512427966
2025-05-31,Original,Sector_Financial_Services,-2.401883921875628e-05,-0.07486678984462002
2025-05-31,Original,Sector_Healthcare,4.669742880402039e-05,0.14555601778726304
2025-05-31,Original,Sector_Industrials,-2.4416107704951235e-05,-0.07610507684079684
2025-05-31,Original,Sector_Real_Estate,1.4906933027984135e-05,0.04646495245125767
2025-05-31,Original,Sector_Technology,-3.1848454052575544e-05,-0.09927172144806405
2025-05-31,Original,Sector_Utilities,-5.784623106510804e-06,-0.018030686599845705
2025-05-31,Original,Size,7.846904810161995e-07,0.0024458824508654
2025-05-31,Original,Nonlinear_Size,-2.501974278372077e-09,-7.798660909027329e-06
2025-05-31,Original,Momentum,1.0591858121183476e-06,0.0033014851750347673
2025-05-31,Original,Residual_Volatility,4.342977823547987e-06,0.013537074171407386
2025-05-31,Original,Liquidity,8.582415588269333e-07,0.0026751413686319776
2025-05-31,Original,Book_to_Price,1.6080955388335245e-06,0.00501243834722478
2025-05-31,Original,Earnings_Yield,1.1413105905447733e-06,0.0035574683418934682
2025-05-31,Original,Leverage,4.1824629061606423e-07,0.001303674871947711
2025-05-31,Original,Dividend_Yield,-2.0968942965261116e-07,-0.0006536025458791164
2025-05-31,Minimum_TE,Market,0.0001729816507013173,0.8941421815917971
2025-05-31,Minimum_TE,Sector_Basic_Materials,1.6787881961539274e-06,0.008677656468497323
2025-05-31,Minimum_TE,Sector_Communication_Services,-2.8698249694059387e-07,-0.0014834125749915148
2025-05-31,Minimum_TE,Sector_Consumer_Cyclical,-7.497507040980787e-07,-0.003875461515682813
2025-05-31,Minimum_TE,Sector_Consumer_Defensive,7.43229414654953e-06,0.03841752969453617
2025-05-31,Minimum_TE,Sector_Energy,-1.2267293206704936e-06,-0.006340964065031815
2025-05-31,Minimum_TE,Sector_Financial_Services,-5.996522104040283e-06,-0.030996023765133267
2025-05-31,Minimum_TE,Sector_Healthcare,4.473911615139658e-06,0.02312564989171647
2025-05-31,Minimum_TE,Sector_Industrials,-4.476648370107993e-06,-0.02313979617860845
2025-05-31,Minimum_TE,Sector_Real_Estate,2.511404098020948e-07,0.0012981448205395866
2025-05-31,Minimum_TE,Sector_Technology,1.9514011989274375e-06,0.010086793125720474
2025-05-31,Minimum_TE,Sector_Utilities,4.996878876383922e-07,0.0025828867753115176
2025-05-31,Minimum_TE,Size,1.4295669911444433e-06,0.007389432017853787
2025-05-31,Minimum_TE,Nonlinear_Size,-3.2361833865562424e-07,-0.0016727832469831398
2025-05-31,Minimum_TE,Momentum,-3.619519077872613e-08,-0.00018709294722769703
2025-05-31,Minimum_TE,Residual_Volatility,1.8835951933622957e-07,0.0009736303871540986
2025-05-31,Minimum_TE,Liquidity,2.2641276908917768e-07,0.001170327641532302
2025-05-31,Minimum_TE,Book_to_Price,-8.238395488440042e-08,-0.0004258426766645315
2025-05-31,Minimum_TE,Earnings_Yield,2.0959657693818946e-07,0.0010834047414733019
2025-05-31,Minimum_TE,Leverage,2.4794285393574266e-07,0.0012816166537281922
2025-05-31,Minimum_TE,Dividend_Yield,2.0852735352149676e-09,1.077877925452443e-05
2025-05-31,MVO,Market,0.0002411698262297107,0.7517270311341137
2025-05-31,MVO,Sector_Basic_Materials,9.600704437081588e-06,0.029925422910946017
2025-05-31,MVO,Sector_Communication_Services,-3.362748210642574e-06,-0.010481695692852297
2025-05-31,MVO,Sector_Consumer_Cyclical,-3.946378278800137e-06,-0.012300872267615016
2025-05-31,MVO,Sector_Consumer_Defensive,4.6691908046014226e-05,0.14553880956892795
2025-05-31,MVO,Sector_Energy,-1.2532682497733718e-05,-0.03906440682672435
2025-05-31,MVO,Sector_Financial_Services,-5.27583924120255e-05,-0.16444805851261426
2025-05-31,MVO,Sector_Healthcare,5.636702863623405e-05,0.17569618783988547
2025-05-31,MVO,Sector_Industrials,-2.557167992772213e-05,-0.07970699873071523
2025-05-31,MVO,Sector_Real_Estate,1.3396036466459377e-05,0.041755483591484406
2025-05-31,MVO,Sector_Technology,-5.609656474968459e-07,-0.0017485315113980027
2025-05-31,MVO,Sector_Utilities,-1.8501428347531817e-06,-0.0057669004538666606
2025-05-31,MVO,Size,-2.4973970530821926e-08,-7.784393684840169e-05
2025-05-31,MVO,Nonlinear_Size,2.720003011880581e-08,8.47825708863467e-05
2025-05-31,MVO,Momentum,3.560307722882856e-07,0.0011097489251816162
2025-05-31,MVO,Residual_Volatility,3.5755195645549977e-06,0.011144904605374486
2025-05-31,MVO,Liquidity,3.1934525942205036e-06,0.009954000777171734
2025-05-31,MVO,Book_to_Price,5.756364405100997e-07,0.0017942604147548097
2025-05-31,MVO,Earnings_Yield,1.6351619164299763e-06,0.0050968043228205645
2025-05-31,MVO,Leverage,1.741595820012176e-08,5.428559101611398e-05
2025-05-31,MVO,Dividend_Yield,1.7586906930336196e-06,0.005481843869216548
2025-06-30,Original,Market,0.0003216120472045865,0.8409652560271497
2025-06-30,Original,Sector_Basic_Materials,2.3651632360803024e-06,0.006184532338463681
2025-06-30,Original,Sector_Communication_Services,5.411727824600206e-07,0.0014150822754065225
2025-06-30,Original,Sector_Consumer_Cyclical,-1.669627257965064e-06,-0.004365814423522857
2025-06-30,Original,Sector_Consumer_Defensive,2.5022642387048925e-05,0.06543030040200655
2025-06-30,Original,Sector_Energy,-4.529704294061886e-06,-0.011844469025626438
2025-06-30,Original,Sector_Financial_Services,-7.640529069846103e-06,-0.019978789791162944
2025-06-30,Original,Sector_Healthcare,2.7829308877334816e-05,0.07276929477147007
2025-06-30,Original,Sector_Industrials,-7.057057347502383e-06,-0.018453102396582065
2025-06-30,Original,Sector_Real_Estate,6.5089311651953655e-06,0.017019838066947738
