Date,Portfolio,Predicted Total Risk,Predicted Proxy Tracking Error,Systematic Risk,Idiosyncratic Risk,Proxy Active Systematic Risk,Proxy Active Idiosyncratic Risk,Proxy Benchmark Idiosyncratic Variance Daily,Turnover
2020-12-31,MVO,0.5086452959360337,0.24722109973118384,0.4910249964734665,0.13271959130470348,0.2116912231350246,0.12769141787877986,2.5735332119099424e-06,0.500000000000022
2021-01-31,Original,0.47570517630021725,0.20432253496932856,0.46958192569915247,0.07608041676736779,0.19060021039904895,0.07361561038346934,2.8192742153534914e-06,0.55
2021-01-31,Minimum_TE,0.39111980528119794,0.10827008782437232,0.382125649074987,0.08339478642110716,0.07042632873806794,0.08223468938334286,2.8192742153534914e-06,0.6925850179748756
2021-01-31,MVO,0.47570517630023607,0.21884731822790188,0.46338591803833135,0.1075588477188725,0.19325262255927836,0.10270137569431892,2.8192742153534914e-06,0.7076168763988847
2021-02-28,Original,0.5489256898161419,0.2872729738940792,0.5423636297943166,0.08462331839665015,0.27494956642713386,0.0832375963821601,2.3481009768465503e-06,0.35000000000000003
2021-02-28,Minimum_TE,0.42712694978192606,0.14757152238948165,0.4184463418456571,0.0856743265278427,0.12104100755871146,0.08441817760127991,2.3481009768465503e-06,0.526437192020522
2021-02-28,MVO,0.5489256898161452,0.2848733081096889,0.5363388961618135,0.1168760086761108,0.26126981337842775,0.11353803895857666,2.3481009768465503e-06,0.4000000000000178
2021-03-31,Original,0.45706125501205763,0.3155703217601899,0.4511372660850658,0.0733495602065185,0.30707525160696375,0.07272838391130135,1.9148967388178725e-06,0.5
2021-03-31,Minimum_TE,0.3630423429440229,0.20269656692701135,0.35015527448768236,0.09586984154957877,0.18015971449703239,0.09288904949639745,1.9148967388178725e-06,0.7009287082555387
2021-03-31,MVO,0.457061255012117,0.30410901962557785,0.4441031490092048,0.10806194461215034,0.28520368547236596,0.10555166322995506,1.9148967388178725e-06,0.7812269815487873
2021-04-30,Original,0.31709964253381057,0.18704069989617453,0.31037157191156434,0.06497438452355743,0.17560778025570226,0.06439045683419105,1.866292124762879e-06,0.45
2021-04-30,Minimum_TE,0.27658286391732945,0.13909157059902014,0.265938694086264,0.07599139162039646,0.11721443334159817,0.07488151726634716,1.866292124762879e-06,0.5890496405370111
2021-04-30,MVO,0.3170996425338164,0.1913298462191932,0.30224034773744507,0.0959320358098505,0.16688556527327084,0.0935752005484411,1.866292124762879e-06,0.46060467931681165
2021-05-31,Original,0.3085569487424764,0.18923148920935826,0.30193389050995934,0.06358707713668783,0.17832999581943168,0.06330062479496504,1.6579470464238526e-06,0.28571428571428575
2021-05-31,Minimum_TE,0.2551086124710779,0.13038948903132289,0.2457478212903284,0.06847198323384121,0.11131509777790546,0.06789968966456926,1.6579470464238526e-06,0.2974629457624606
2021-05-31,MVO,0.28932762398811473,0.17846796208921067,0.27327098675498424,0.09504442014429446,0.15228116735327843,0.09306588828243541,1.6579470464238526e-06,0.20000000000000004
2021-06-30,Original,0.24899745440602836,0.15719580502225397,0.2403920507918127,0.06489525573405748,0.143669304197943,0.06379382531149391,1.7428862816665166e-06,0.3333333333333333
