Date,Portfolio,Factor,Proxy Active Variance Contribution Daily,Proxy Active Variance Contribution Pct
2023-06-30,Minimum_TE,Nonlinear_Size,1.738881006091912e-07,0.010473096513330652
2023-06-30,Minimum_TE,Momentum,5.246031882182713e-07,0.031596295561126586
2023-06-30,Minimum_TE,Residual_Volatility,2.849223990140445e-07,0.017160574951533333
2023-06-30,Minimum_TE,Liquidity,4.530978883995497e-08,0.002728960692865249
2023-06-30,Minimum_TE,Book_to_Price,3.8476500871452663e-07,0.023173989807826735
2023-06-30,Minimum_TE,Earnings_Yield,1.3486693210236682e-07,0.00812289277654138
2023-06-30,Minimum_TE,Leverage,4.0993845929644083e-07,0.02469016012997247
2023-06-30,Minimum_TE,Dividend_Yield,2.454467756168721e-07,0.014782999877022297
2023-06-30,MVO,Market,5.358632420594226e-07,0.010974526618480638
2023-06-30,MVO,Sector_Basic_Materials,1.2458536020204538e-06,0.02551519202092849
2023-06-30,MVO,Sector_Communication_Services,-4.614535182094907e-06,-0.09450608889161342
2023-06-30,MVO,Sector_Consumer_Cyclical,1.3301632580698005e-05,0.272418612377842
2023-06-30,MVO,Sector_Consumer_Defensive,-5.216032482888973e-06,-0.10682480684125163
2023-06-30,MVO,Sector_Energy,5.171953130244541e-06,0.1059220577983007
2023-06-30,MVO,Sector_Financial_Services,-2.5896091015682236e-06,-0.053035423567024016
2023-06-30,MVO,Sector_Healthcare,-9.254508940358297e-06,-0.18953316207433873
2023-06-30,MVO,Sector_Industrials,3.1221062596624544e-06,0.06394101248801665
2023-06-30,MVO,Sector_Real_Estate,-2.6618581137852392e-06,-0.05451508973088947
2023-06-30,MVO,Sector_Technology,1.1284117366049882e-05,0.23109972224226846
2023-06-30,MVO,Sector_Utilities,-1.699731200365722e-06,-0.03481064540084114
2023-06-30,MVO,Size,3.239357767029105e-07,0.006634233373503286
2023-06-30,MVO,Nonlinear_Size,1.4233517249982567e-07,0.0029150369287172543
2023-06-30,MVO,Momentum,3.432575820816149e-06,0.07029945657538211
2023-06-30,MVO,Residual_Volatility,1.435124921273455e-06,0.029391485388755106
2023-06-30,MVO,Liquidity,4.4475513211192837e-08,0.0009108624464163138
2023-06-30,MVO,Book_to_Price,1.833785679173469e-06,0.037556092989946395
2023-06-30,MVO,Earnings_Yield,2.9502458347094773e-07,0.006042129577622791
2023-06-30,MVO,Leverage,1.8303523591280298e-06,0.03748577829158487
2023-06-30,MVO,Dividend_Yield,9.233769312775525e-07,0.018910841266609465
2023-07-31,Original,Market,3.213675678903936e-08,0.0013450109642550896
2023-07-31,Original,Sector_Basic_Materials,1.8708926611638887e-07,0.007830196303654549
2023-07-31,Original,Sector_Communication_Services,-2.7172120453343406e-07,-0.011372273864384348
2023-07-31,Original,Sector_Consumer_Cyclical,1.0527782797167357e-05,0.44061643757143687
2023-07-31,Original,Sector_Consumer_Defensive,-2.28091458442436e-06,-0.09546249936541312
2023-07-31,Original,Sector_Energy,-1.4818019050780267e-06,-0.06201745316950516
2023-07-31,Original,Sector_Financial_Services,8.217901824516286e-07,0.03439416158171919
2023-07-31,Original,Sector_Healthcare,-1.3024185733010073e-06,-0.054509771245391754
2023-07-31,Original,Sector_Industrials,7.071853189304414e-06,0.29597635317266524
2023-07-31,Original,Sector_Real_Estate,-2.8348623532666916e-06,-0.1186467250671085
2023-07-31,Original,Sector_Technology,-1.3253429780363217e-06,-0.05546922013814796
2023-07-31,Original,Sector_Utilities,-4.416051231274111e-06,-0.18482379425423706
2023-07-31,Original,Size,3.0223627373142874e-07,0.012649412777801518
2023-07-31,Original,Nonlinear_Size,4.0567367012672135e-07,0.01697855006999768
2023-07-31,Original,Momentum,1.8226639887211231e-06,0.07628346149163817
2023-07-31,Original,Residual_Volatility,1.544690936740217e-06,0.06464953075195369
2023-07-31,Original,Liquidity,2.292096503976232e-08,0.0009593049321113358
2023-07-31,Original,Book_to_Price,-4.369567184097366e-08,-0.0018287831003732952
2023-07-31,Original,Earnings_Yield,1.3402541526201395e-06,0.05609329348309722
2023-07-31,Original,Leverage,3.74657831682922e-07,0.01568045259717794
2023-07-31,Original,Dividend_Yield,4.24696931619672e-08,0.0017774725472882043
2023-07-31,Minimum_TE,Market,6.408977253902763e-08,0.004616232252796366
2023-07-31,Minimum_TE,Sector_Basic_Materials,1.0577443191397212e-08,0.0007618678063261224
2023-07-31,Minimum_TE,Sector_Communication_Services,-7.522486709553098e-07,-0.05418266346432234
2023-07-31,Minimum_TE,Sector_Consumer_Cyclical,1.233817353369641e-06,0.08886889803231
2023-07-31,Minimum_TE,Sector_Consumer_Defensive,-3.205216412691523e-07,-0.023086403329718168
2023-07-31,Minimum_TE,Sector_Energy,-1.8938594871071063e-06,-0.13641014627293993
2023-07-31,Minimum_TE,Sector_Financial_Services,-4.6719013497750847e-07,-0.03365058236020669
2023-07-31,Minimum_TE,Sector_Healthcare,-5.641969777759066e-07,-0.04063775205557766
2023-07-31,Minimum_TE,Sector_Industrials,4.948539494770868e-06,0.3564314041852347
2023-07-31,Minimum_TE,Sector_Real_Estate,-3.7151684113698366e-07,-0.02675946499059907
2023-07-31,Minimum_TE,Sector_Technology,1.0980887225661586e-06,0.07909269102890108
2023-07-31,Minimum_TE,Sector_Utilities,-1.2647537443820725e-06,-0.09109717191001399
2023-07-31,Minimum_TE,Size,5.847683810531264e-08,0.004211946078275024
