Date,Portfolio Return,Historical Benchmark Return,Active Return vs S&P500
2025-10-10,-0.03740077609204743,-0.027111658161485086,-0.010289117930562343
2025-10-13,0.02556076468673806,0.015598602672868944,0.009962162013869114
2025-10-14,0.0106942756144263,-0.0015643032313906735,0.012258578845816973
2025-10-15,0.012717652435393195,0.004026001195007511,0.008691651240385683
2025-10-16,-0.003961141106967209,-0.0062943520220175575,0.0023332109150503485
2025-10-17,-0.013943603236720944,0.005270724249404557,-0.0192143274861255
2025-10-20,0.01315134449533292,0.010672252892777845,0.0024790916025550745
2025-10-21,-0.01003042520955458,3.266455138950519e-05,-0.010063089760944085
2025-10-22,-0.007239835861353192,-0.005337510300132964,-0.0019023255612202281
2025-10-23,0.019928424845858897,0.005827387527241212,0.014101037318617685
2025-10-24,0.009837821338916983,0.007902422519158847,0.001935398819758136
2025-10-27,0.0018678122130480136,0.012290019126314666,-0.010422206913266653
2025-10-28,-0.002236079872624868,0.0022879467532392894,-0.004524026625864158
2025-10-29,0.018482483120782874,-4.353574066628951e-05,0.018526018861449164
2025-10-30,0.026434460232343287,-0.009904812214919234,0.036339272447262524
2025-10-31,-0.0005212215687691923,0.0026178701149457417,-0.003139091683714934
2025-11-03,-0.0030948542385304035,0.0017207099207625642,-0.004815564159292967
2025-11-04,-0.023558010018567985,-0.011736770592982726,-0.011821239425585259
2025-11-05,0.021509110698381833,0.0036535209811638936,0.01785558971721794
2025-11-06,-0.00825675840644247,-0.011178157494750818,0.0029213990883083484
2025-11-07,0.0013041982590558958,0.0012618446740633171,4.235358499257865e-05
2025-11-10,0.024065137530298628,0.015400963024610581,0.008664174505688047
2025-11-11,-0.003359071852467067,0.0020753963084874094,-0.005434468160954477
2025-11-12,0.007121928303223823,0.0006295086181336007,0.0064924196850902225
2025-11-13,-0.03125924591678938,-0.016556900387101336,-0.014702345529688042
2025-11-14,-2.9462246625156034e-05,-0.0005016705034071034,0.0004722082567819474
2025-11-17,-0.011438793257708796,-0.009162309495983845,-0.0022764837617249515
2025-11-18,-0.007010432846709118,-0.008256387122493991,0.0012459542757848729
2025-11-19,0.01086100662329683,0.0037537855204221593,0.007107221102874671
2025-11-20,-0.031352858967286755,-0.01556722511953934,-0.015785633847747414
2025-11-21,0.014409453176404708,0.00982296337531885,0.004586489801085858
2025-11-24,0.02526361137441606,0.015467235297948356,0.009796376076467703
2025-11-25,0.017055019085484395,0.009061731930226413,0.007993287155257982
2025-11-26,0.013803566684779923,0.006906714278112958,0.006896852406666966
2025-11-28,0.009009182381190474,0.005354775922884247,0.003654406458306227
2025-12-01,-0.004035178678521298,-0.00532333492478565,0.0012881562462643522
2025-12-02,0.00891369748269496,0.002457200816718297,0.0064564966659766635
2025-12-03,0.003914784041390396,0.002979777051177468,0.0009350069902129277
2025-12-04,0.007561903167447553,0.0010803361305278258,0.006481567036919727
2025-12-05,-0.0009134264669727433,0.0019366731222436595,-0.0028500995892164027
2025-12-08,0.000982158265922814,-0.0034772356776897606,0.004459393943612574
2025-12-09,0.006651005290436382,-0.0008763589040255981,0.00752736419446198
2025-12-10,0.02089036494167812,0.006749496748049477,0.014140868193628642
2025-12-11,0.014028395613679802,0.0020793764194066977,0.011949019194273105
2025-12-12,-0.030599382799447458,-0.010663671931604113,-0.019935710867843345
2025-12-15,0.00037065821562676975,-0.0015965058492165562,0.001967164064843326
2025-12-16,-0.0058312042023531,-0.0023839178699950336,-0.0034472863323580663
2025-12-17,-0.01706413342960156,-0.011592203827500702,-0.005471929602100859
2025-12-18,0.014490468654827667,0.007934323499612317,0.00655614515521535
2025-12-19,0.019131843951574468,0.008818024549947179,0.010313819401627289
2025-12-22,0.012967986614464057,0.006436462067451965,0.006531524547012092
2025-12-23,0.003592550111919993,0.004550417315428268,-0.0009578672035082747
2025-12-24,0.002552002663287526,0.0032215161386959235,-0.0006695134754083976
2025-12-26,-9.476854746050772e-05,-0.0003043832632483312,0.0002096147157878235
2025-12-29,-0.010239610204604578,-0.0034920937266411656,-0.006747516477963412
2025-12-30,-0.0006972986779918567,-0.0013756671985912794,0.0006783685205994227
2025-12-31,-0.010486743456489145,-0.0073576325649918894,-0.0031291108914972554
2026-01-02,0.026851227422029746,0.0018946753341611,0.024956552087868646
2026-01-05,0.013281194377768908,0.0063541868667500445,0.006927007511018863
2026-01-06,0.01712960032311174,0.006196709673212952,0.010932890649898788
2026-01-07,-0.01679531782422481,-0.0034399739662078765,-0.013355343858016934
2026-01-08,-0.004022093226330503,7.65793036485718e-05,-0.004098672529979075
2026-01-09,0.01659274715951612,0.006475512391894256,0.010117234767621865
2026-01-12,0.013691330725511975,0.0015775995222702122,0.012113731203241763
2026-01-13,0.01444371729437845,-0.0019391538524380358,0.016382871146816486
2026-01-14,-0.0006382245950094739,-0.0053333409920530706,0.004695116397043597
2026-01-15,0.018691251036439985,0.002579909335027164,0.01611134170141282
2026-01-16,-0.0020605791166456834,-0.000642237636565457,-0.0014183414800802265
2026-01-20,-0.004693795139966281,-0.020626771431165203,0.01593297629119892
2026-01-21,0.025155492500733963,0.011587703733783039,0.013567788766950924
2026-01-22,-0.000777918514822122,0.005487505126810399,-0.006265423641632521
2026-01-23,-0.012202278129408257,0.0003269037442048539,-0.012529181873613111
2026-01-26,0.007341405939191756,0.005006065986948416,0.0023353399522433402
2026-01-27,0.029591542323468327,0.004081879304713709,0.025509663018754618
2026-01-28,-0.0042602898954409085,-8.16782735792998e-05,-0.004178611621861609
2026-01-29,0.008355781208628068,-0.0012926284352460238,0.009648409643874091
2026-01-30,-0.02771456876929719,-0.004301902278802894,-0.023412666490494297
2026-02-02,0.02264317443987603,0.005391243444688998,0.017251930995187032
2026-02-03,0.021928535817116283,-0.008403999747722213,0.030332535564838496
2026-02-04,-0.03343293894073689,-0.005072414535814085,-0.0283605244049228
2026-02-05,-0.024022078153479134,-0.01225097054652824,-0.011771107606950895
2026-02-06,0.05320337606324027,0.01969581077900684,0.03350756528423343
2026-02-09,0.024243474914364727,0.0046910837672922145,0.019552391147072513
2026-02-10,-0.006157148365571296,-0.003303746543341979,-0.002853401822229317
2026-02-11,0.01245650646638195,-4.897858051433612e-05,0.012505485046896286
2026-02-12,-0.03464363190332435,-0.015660947897203292,-0.018982684006121055
2026-02-13,0.02374070413186928,0.0004990662631205733,0.023241637868748707
2026-02-17,-0.0020133030685487575,0.0010312792104349988,-0.0030445822789837563
2026-02-18,0.01059694851572472,0.005566093154976803,0.005030855360747917
2026-02-19,0.005537196711193573,-0.0028221370640183485,0.008359333775211922
2026-02-20,0.008493213490346487,0.00693977898217546,0.0015534345081710272
2026-02-23,-0.013085114341762722,-0.010385685815636703,-0.0026994285261260197
2026-02-24,0.03947172191553096,0.007651639793791798,0.03182008212173916
2026-02-25,0.008601523587300413,0.008136346945676998,0.0004651766416234153
2026-02-26,-0.002434169593455809,-0.005365577666988752,0.002931408073532943
2026-02-27,-0.0009267670145950733,-0.00433935555214604,0.003412588537550967
